2023-10-23 14:04:07.506 [info] Log level: Info
2023-10-23 14:04:07.506 [info] Validating found git in: "git"
2023-10-23 14:04:07.506 [info] Using git "2.42.0" from "git"
2023-10-23 14:04:07.506 [info] > git rev-parse --show-toplevel [33ms]
2023-10-23 14:04:07.552 [info] > git rev-parse --show-toplevel [5ms]
2023-10-23 14:04:07.597 [info] > git rev-parse --show-toplevel [12ms]
2023-10-23 14:04:07.862 [info] > git rev-parse --show-toplevel [243ms]
2023-10-23 14:04:08.487 [info] > git rev-parse --show-toplevel [78ms]
2023-10-23 14:04:08.662 [info] > git rev-parse --show-toplevel [26ms]
2023-10-23 14:04:08.901 [info] > git rev-parse --show-toplevel [98ms]
2023-10-23 14:04:10.195 [info] > git rev-parse --show-toplevel [7ms]
2023-10-23 14:04:12.339 [info] > git rev-parse --show-toplevel [13ms]
2023-10-23 14:04:12.573 [info] > git rev-parse --show-toplevel [14ms]
2023-10-23 15:03:32.031 [info] > git rev-parse --show-toplevel [37ms]
2023-10-23 15:31:20.472 [info] > git rev-parse --show-toplevel [15ms]
2023-10-23 15:40:37.662 [info] > git rev-parse --show-toplevel [14ms]
2023-10-23 16:56:22.730 [info] > git rev-parse --show-toplevel [15ms]
2023-10-23 16:57:46.420 [info] > git rev-parse --show-toplevel [18ms]
2023-10-23 16:58:08.298 [info] > git rev-parse --show-toplevel [15ms]
2023-10-23 16:58:09.131 [info] > git rev-parse --show-toplevel [12ms]
2023-10-23 16:58:11.534 [info] > git rev-parse --show-toplevel [27ms]
2023-10-23 16:58:17.914 [info] > git rev-parse --show-toplevel [25ms]
2023-10-23 16:58:20.183 [info] > git rev-parse --show-toplevel [8ms]
2023-10-23 17:04:46.664 [info] > git rev-parse --show-toplevel [21ms]
2023-10-23 17:04:50.890 [info] > git rev-parse --show-toplevel [10ms]
2023-10-23 17:10:33.646 [info] > git rev-parse --show-toplevel [4ms]
2023-10-23 17:10:35.369 [info] > git rev-parse --show-toplevel [21ms]
2023-10-23 17:10:39.031 [info] > git rev-parse --show-toplevel [12ms]
2023-10-23 17:10:39.847 [info] > git rev-parse --show-toplevel [42ms]
2023-10-23 17:10:45.135 [info] > git rev-parse --show-toplevel [54ms]
2023-10-23 17:10:47.928 [info] > git rev-parse --show-toplevel [13ms]
2023-10-23 17:10:59.711 [info] > git rev-parse --show-toplevel [23ms]
2023-10-23 17:13:06.958 [info] > git rev-parse --show-toplevel [17ms]
2023-10-23 17:15:43.392 [info] > git rev-parse --show-toplevel [11ms]
2023-10-23 17:15:56.789 [info] > git rev-parse --show-toplevel [21ms]
2023-10-23 17:16:34.467 [info] > git rev-parse --show-toplevel [32ms]
