aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.1-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
aom 3.8.1-1
apache 2.4.58-1
apparmor 3.1.7-1
appstream 1.0.2-1
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-keyring 20240208-1
argon2 20190702-5
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0-1
autoconf 2.72-1
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
baobab 45.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
binutils 2.42-2
bison 3.8.2-6
blueprint-compiler 0.10.0-1
bluez 5.72-2
bluez-libs 5.72-2
bolt 0.9.7-1
brave-bin 1:1.62.165-1
bridge-utils 1.7.1-1
brltty 6.6-5
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.98-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-9
chromaprint 1.5.1-7
cifs-utils 7.0-3
cmake 3.28.3-1
code 1.86.2-1
colord 1.4.7-2
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.7-2
containerd 1.7.13-1
coreutils 9.4-3
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.7.0-1
cups-pk-helper 0.2.7-1
curl 8.6.0-3
dav1d 1.4.0-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
diffutils 3.10-1
discord 0.0.43-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
docker 1:25.0.2-1
docker-compose 2.24.6-1
dotconf 1.3-7
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.0-1
editorconfig-core-c 0.12.6-1
electron27 27.3.4-1
ell 0.63-1
enchant 2.6.5-1
epiphany 45.2-1
evince 45.0-1
evolution-data-server 3.50.4-1
exempi 2.6.5-1
exiv2 0.28.2-1
expat 2.6.0-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.33-2
ffmpeg 2:6.1.1-6
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 123.0-1
flac 1.4.3-1
flatpak 1:1.15.6-2
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
folks 0.15.7-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freerdp 2:2.11.4-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 45.0.1-1
geoclue 2.7.1-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-2
geoip-database 20240127-1
gettext 0.22.4-1
gfeeds-git 2.2.0.r29.g7b2c12a-1
ghostscript 10.02.1-1
giflib 5.2.2-1
git 2.44.0-1
gjs 2:1.78.4-1
glib-networking 1:2.78.0-1
glib2 2.78.4-1
